Video,Arena,Sequence,Individual,Group,REP,Beginning_seq,End_seq,Prop_time_lost,Smoothing_filter_window,Smoothing_Polyorder,Moving_threshold,Prop_time_moving,Average_Speed,Average_Speed_Moving,Traveled_Dist,Meander,Traveled_Dist_Moving,Meander_moving,Exploration_absolute_value,Exploration_relative_value,Exploration_method,Exploration_area,Exploration_aspect_param,Mean_nb_neighbours,Prop_time_with_at_least_one_neighbour,Mean_shortest_interind_distance,Mean_sum_interind_distances
REP_2.avi,1,1_min,DEL_2,DEL,2,0,59.99,0.002857142857,15,2,0.28,0.9913892078,3.97305414,4.006015917,237.3965944,264.3028313,237.3049835,157.248099,32.5055663,0.6062530532,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,1,2_min,DEL_2,DEL,2,59.99,119.98,0.006857142857,15,2,0.28,0.9901904212,3.975238538,4.012891002,236.2999378,277.0449332,236.1981533,168.2035367,29.20245639,0.5446475901,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,1,3_min,DEL_2,DEL,2,119.98,179.98,0.001142857143,15,2,0.28,0.9977103606,4.000568493,4.009246213,239.7267324,201.7692846,239.6966505,176.2726796,27.30708322,0.509297467,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,1,4_min,DEL_2,DEL,2,179.98,239.97,0.003428571429,15,2,0.28,0.9896670494,3.717206391,3.75414588,222.1092657,359.6004409,221.9986107,178.6176927,23.70136008,0.4420480412,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,1,5_min,DEL_2,DEL,2,239.97,299,0.001742160279,15,2,0.28,0.9464181712,2.617911433,2.755593575,154.1796642,576.7960285,153.5926308,290.5337494,27.20676944,0.5074265401,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,General,COM_2,COM,2,0,299.99,0,15,2,0.28,0.4788474731,1.003152343,1.98656045,300.9388212,14111.10549,285.3713098,276.0327931,29.83666241,0.5441683183,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,1_min,COM_2,COM,2,0,59.99,0,15,2,0.28,0.7381360778,1.370964847,1.812259939,82.24660482,4695.912481,80.25065452,345.0915052,21.96816085,0.4006606698,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,2_min,COM_2,COM,2,59.99,119.98,0,15,2,0.28,0.2525714286,0.3242364923,0.9940510956,19.46264188,24672.50346,15.0706793,303.0590154,5.678874631,0.1035726991,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,3_min,COM_2,COM,2,119.98,179.98,0,15,2,0.28,0.04628571429,0.09873482537,0.6169553116,5.926663388,29717.02548,1.714117453,387.2729177,1.243333592,0.02267622097,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,4_min,COM_2,COM,2,179.98,239.97,0,15,2,0.28,0.396,0.5679643955,1.244528622,34.09266969,10977.08169,29.58284748,348.0563342,13.95030322,0.2544290288,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,2,5_min,COM_2,COM,2,239.97,299,0,15,2,0.28,0.9605110337,2.667615858,2.769115577,157.5644683,469.4705186,157.1008152,183.4412695,22.89327684,0.4175331605,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,General,IMI_2,IMI,2,0,299.99,0,15,2,0.28,0.3132860736,0.5229498261,1.544448579,156.8813603,62501.25068,145.1529501,350.7120864,34.58707727,0.6238829076,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,1_min,IMI_2,IMI,2,0,59.99,0,15,2,0.28,0,0.02162847575,nan,1.297530496,154967.3809,0,nan,0.2357373865,0.004252239211,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,2_min,IMI_2,IMI,2,59.99,119.98,0,15,2,0.28,0.01085714286,0.04807865212,0.3586874016,2.885972464,101802.0652,0.2337607406,275.7885785,0.7345198002,0.01324929381,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,3_min,IMI_2,IMI,2,119.98,179.98,0,15,2,0.28,0.056,0.08122345628,0.3914964486,4.875524748,46257.90216,1.315999587,466.0393209,1.232744915,0.02223629583,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,4_min,IMI_2,IMI,2,179.98,239.97,0,15,2,0.28,0.8291428571,1.576317913,1.876056545,94.62016696,5831.397191,93.37168302,277.1874341,25.8937735,0.4670727907,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,3,5_min,IMI_2,IMI,2,239.97,299,0,15,2,0.28,0.6736353078,0.8966306055,1.258180025,52.96007075,3714.877734,50.06135794,436.627638,20.31409805,0.3664264101,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,General,COM_3,COM,3,0,300,0,0,0,0.28,0.8764199656,2.608829506,2.954763632,782.6488517,3264.886321,776.8841523,1101.508443,45.93089406,0.8011528778,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,1_min,COM_3,COM,3,0,60,0,0,0,0.28,0.9030407344,1.841979594,2.02131563,110.5187757,2863.885185,109.519821,1295.6872,26.86904638,0.4686652474,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,2_min,COM_3,COM,3,60,120,0,0,0,0.28,0.6032110092,0.7371875548,1.118224917,44.2566298,9615.487685,40.4947543,2130.039985,8.1722294,0.142544691,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,3_min,COM_3,COM,3,120,180,0,0,0,0.28,0.9552752294,3.049736829,3.185148508,183.0891921,1454.541971,182.6663482,872.9871371,30.77348167,0.5367686371,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,4_min,COM_3,COM,3,180,240,0,0,0,0.28,0.9655963303,3.857824084,3.991383277,231.6022445,1090.957592,231.3765728,804.087532,25.86145017,0.4510901792,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,0,5_min,COM_3,COM,3,240,298.97,0,0,0,0.28,0.9539089848,3.542555706,3.707242178,209.016884,1247.322697,208.6520124,808.1838593,26.30338811,0.458798713,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,1,General,IMI_3,IMI,3,0,300,0,0,0,0.28,0.9889845095,4.337459957,4.38363959,1301.237987,669.349439,1300.605495,507.0399367,48.94922428,0.8350335124,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,1,1_min,IMI_3,IMI,3,0,60,0,0,0,0.28,0.9885255307,4.332452415,4.380639243,259.9471449,720.447752,259.8224239,511.0169802,36.28851046,0.6190521462,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,1,2_min,IMI_3,IMI,3,60,120,0,0,0,0.28,0.9931192661,4.687608647,4.718754105,281.4178823,564.7199266,281.3384547,468.2128544,24.63929393,0.4203260921,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,1,3_min,IMI_3,IMI,3,120,180,0,0,0,0.28,0.9948394495,5.091065196,5.116600155,305.6391636,563.0461241,305.5869628,397.1938281,34.04816934,0.5808337691,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,1,4_min,IMI_3,IMI,3,180,240,0,0,0,0.28,0.9879587156,3.963703636,4.009578169,237.9586623,708.3376704,237.8142232,562.0170933,30.31092368,0.5170794315,Modern,0.2,NA,NA,NA,NA,NA
