Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
DEL,REP_11,Limpeza,0:05:00,vagner,5,Limpeza,0:05:00,5
DEL,REP_11,Movimento_circular,4:11:00,vagner,251,Movimento_circular,,0
DEL,REP_11,Observação ,,vagner,0,Observação ,,0
CTR,REP_11,Repouso,,vagner,0,Repouso,,0
CTR,REP_11,Exploracao,3:15:00,vagner,195,Exploracao,,0
CTR,REP_11,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
CTR,REP_11,Limpeza,,vagner,0,Limpeza,00:00:00,0
CTR,REP_11,Movimento_circular,,vagner,0,Movimento_circular,,0
CTR,REP_11,Observação ,,vagner,0,Observação ,,0
COM,REP_11,Repouso,0:59:00,vagner,59,Repouso,,0
COM,REP_11,Exploracao,1:04:00,vagner,64,Exploracao,,0
COM,REP_11,Tentativa_voo,1:54:00,vagner,114,Tentativa_voo,1:54:00,114
COM,REP_11,Limpeza,0:01:00,vagner,1,Limpeza,0:01:00,1
COM,REP_11,Movimento_circular,3:01:00,vagner,181,Movimento_circular,,0
COM,REP_11,Observação ,,vagner,0,Observação ,,0
IMI,REP_11,Repouso,2:56:00,vagner,176,Repouso,,0
IMI,REP_11,Exploracao,0:24:00,vagner,24,Exploracao,,0
IMI,REP_11,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
IMI,REP_11,Limpeza,2:59:00,vagner,179,Limpeza,2:59:00,179
IMI,REP_11,Movimento_circular,,vagner,0,Movimento_circular,,0
IMI,REP_11,Observação ,,vagner,0,Observação ,,0
DEL,REP_5,Repouso,,tef,0,Repouso,,0
DEL,REP_5,Exploracao,2:39:00,tef,159,Exploracao,,0
DEL,REP_5,Tentativa_voo,0:02:00,tef,2,Tentativa_voo,00:03:00,3
DEL,REP_5,Limpeza,,tef,0,Limpeza,00:19:00,19
DEL,REP_5,Movimento_circular,2:17:00,tef,137,Movimento_circular,,0
DEL,REP_5,Observação ,,tef,0,Observação ,,0
CTR,REP_5,Repouso,,tef,0,Repouso,,0
CTR,REP_5,Exploracao,2:07:00,tef,127,Exploracao,,0
CTR,REP_5,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_5,Limpeza,0:07:00,tef,7,Limpeza,00:12:00,12
CTR,REP_5,Movimento_circular,1:27:00,tef,87,Movimento_circular,,0
CTR,REP_5,Observação ,Limpeza em movimento,tef,#VALUE!,Observação ,,0
COM,REP_5,Repouso,0:29:00,tef,29,Repouso,,0
COM,REP_5,Exploracao,4:23:00,tef,263,Exploracao,,0
COM,REP_5,Tentativa_voo,3:27:00,tef,207,Tentativa_voo,00:47:00,47
COM,REP_5,Limpeza,0:40:00,tef,40,Limpeza,01:07:00,67
COM,REP_5,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_5,Observação ,Limpeza em repouso e em movimento,tef,#VALUE!,Observação ,,0
IMI,REP_5,Repouso,2:16:00,tef,136,Repouso,,0
IMI,REP_5,Exploracao,2:21:00,tef,141,Exploracao,,0
IMI,REP_5,Tentativa_voo,0:08:00,tef,8,Tentativa_voo,,0
IMI,REP_5,Limpeza,2:16:00,tef,136,Limpeza,01:01:00,61
IMI,REP_5,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_5,Observação ,Limpeza em movimento e dificuldade de locomover ,tef,#VALUE!,Observação ,,0
DEL,REP_6,Repouso,,tef,0,Repouso,,0
DEL,REP_6,Exploracao,1:34:00,tef,94,Exploracao,,0
DEL,REP_6,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
DEL,REP_6,Limpeza,,tef,0,Limpeza,00:03:00,3
DEL,REP_6,Movimento_circular,3:54:00,tef,234,Movimento_circular,,0
DEL,REP_6,Observação ,,tef,0,Observação ,,0
CTR,REP_6,Repouso,,tef,0,Repouso,,0
CTR,REP_6,Exploracao,1:36:00,tef,96,Exploracao,,0
CTR,REP_6,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_6,Limpeza,0:03:00,tef,3,Limpeza,0:03:00,3
CTR,REP_6,Movimento_circular,3:46:00,tef,226,Movimento_circular,,0
CTR,REP_6,Observação ,,tef,0,Observação ,,0
COM,REP_6,Repouso,0:11:00,tef,11,Repouso,,0
COM,REP_6,Exploracao,4:46:00,tef,286,Exploracao,,0
